OriginAirportID,Origin,DestAirportID,Dest,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
10157,ACV,11292,DEN,361,354,59,1,6,0.1666666666666666,0.002770083102493,0.0166204986149584
10157,ACV,12892,LAX,367,366,47,1,0,0.1284153005464481,0.0027247956403269,0.0
10157,ACV,14771,SFO,1257,1237,333,17,3,0.269199676637025,0.0135242641209228,0.0023866348448687
10158,ACY,11697,FLL,530,528,67,2,0,0.1268939393939394,0.0037735849056603,0.0
10158,ACY,13204,MCO,782,775,122,6,1,0.1574193548387096,0.0076726342710997,0.0012787723785166
10158,ACY,13303,MIA,27,27,2,0,0,0.074074074074074,0.0,0.0
10158,ACY,13577,MYR,195,192,31,3,0,0.1614583333333333,0.0153846153846153,0.0
10158,ACY,14027,PBI,394,390,60,3,1,0.1538461538461538,0.0076142131979695,0.0025380710659898
10158,ACY,14635,RSW,371,367,51,3,1,0.1389645776566757,0.0080862533692722,0.0026954177897574
10158,ACY,14761,SFB,4,4,2,0,0,0.5,0.0,0.0
10158,ACY,15304,TPA,368,360,52,6,2,0.1444444444444444,0.0163043478260869,0.0054347826086956
10165,ADK,10299,ANC,105,97,16,8,0,0.1649484536082474,0.0761904761904762,0.0
10170,ADQ,10299,ANC,864,832,134,32,0,0.1610576923076923,0.037037037037037,0.0
10185,AEX,10397,ATL,18,18,7,0,0,0.3888888888888889,0.0,0.0
10185,AEX,11298,DFW,1088,1036,246,52,0,0.2374517374517374,0.0477941176470588,0.0
10208,AGS,10397,ATL,909,892,170,16,1,0.1905829596412556,0.0176017601760176,0.0011001100110011
10208,AGS,10423,AUS,3,3,1,0,0,0.3333333333333333,0.0,0.0
10208,AGS,10721,BOS,5,5,1,0,0,0.2,0.0,0.0
10208,AGS,11057,CLT,523,510,124,13,0,0.2431372549019607,0.0248565965583174,0.0
10208,AGS,11278,DCA,346,324,64,21,1,0.1975308641975308,0.0606936416184971,0.0028901734104046
10208,AGS,11298,DFW,440,424,122,14,2,0.2877358490566037,0.0318181818181818,0.0045454545454545
10208,AGS,11433,DTW,9,9,4,0,0,0.4444444444444444,0.0,0.0
10208,AGS,12953,LGA,17,17,6,0,0,0.3529411764705882,0.0,0.0
10208,AGS,13303,MIA,9,9,2,0,0,0.2222222222222222,0.0,0.0
10208,AGS,13487,MSP,9,9,2,0,0,0.2222222222222222,0.0,0.0
10208,AGS,13930,ORD,12,12,6,0,0,0.5,0.0,0.0
10208,AGS,14100,PHL,13,13,6,0,0,0.4615384615384615,0.0,0.0
10208,AGS,14107,PHX,3,3,2,0,0,0.6666666666666666,0.0,0.0
10245,AKN,10299,ANC,166,165,13,1,0,0.0787878787878787,0.0060240963855421,0.0
10257,ALB,10397,ATL,1047,1027,223,15,5,0.2171372930866602,0.0143266475644699,0.0047755491881566
10257,ALB,10693,BNA,332,326,55,1,5,0.1687116564417178,0.003012048192771,0.0150602409638554
10257,ALB,10821,BWI,1636,1617,212,19,0,0.1311069882498454,0.0116136919315403,0.0
10257,ALB,11057,CLT,1149,1131,222,17,1,0.1962864721485411,0.0147954743255004,0.000870322019147
10257,ALB,11278,DCA,1263,1173,425,88,2,0.3623188405797101,0.0696753760886777,0.0015835312747426
10257,ALB,11292,DEN,307,301,69,2,4,0.2292358803986711,0.006514657980456,0.013029315960912
10257,ALB,11298,DFW,302,288,46,10,4,0.1597222222222222,0.0331125827814569,0.0132450331125827
10257,ALB,11433,DTW,1123,1114,168,9,0,0.1508078994614003,0.0080142475512021,0.0
10257,ALB,11618,EWR,44,42,7,2,0,0.1666666666666666,0.0454545454545454,0.0
10257,ALB,11697,FLL,542,533,114,6,3,0.2138836772983114,0.011070110701107,0.0055350553505535
10257,ALB,12889,LAS,323,318,83,3,2,0.2610062893081761,0.0092879256965944,0.0061919504643962
10257,ALB,13204,MCO,1113,1095,278,9,9,0.2538812785388127,0.0080862533692722,0.0080862533692722
10257,ALB,13232,MDW,651,642,106,8,1,0.1651090342679127,0.0122887864823348,0.0015360983102918
10257,ALB,13303,MIA,24,24,9,0,0,0.375,0.0,0.0
10257,ALB,13577,MYR,159,154,54,4,1,0.3506493506493506,0.0251572327044025,0.0062893081761006
10257,ALB,13930,ORD,1818,1781,445,32,5,0.2498596294216732,0.0176017601760176,0.0027502750275027
10257,ALB,14082,PGD,165,164,50,1,0,0.3048780487804878,0.006060606060606,0.0
10257,ALB,14112,PIE,146,144,53,2,0,0.3680555555555556,0.0136986301369863,0.0
10257,ALB,14635,RSW,13,13,4,0,0,0.3076923076923077,0.0,0.0
10257,ALB,14761,SFB,121,121,46,0,0,0.3801652892561983,0.0,0.0
10257,ALB,14986,SRQ,59,58,12,1,0,0.2068965517241379,0.0169491525423728,0.0
10257,ALB,15304,TPA,258,252,56,3,3,0.2222222222222222,0.0116279069767441,0.0116279069767441
10268,ALO,13930,ORD,390,380,113,9,1,0.2973684210526315,0.023076923076923,0.0025641025641025
10279,AMA,10423,AUS,194,193,35,1,0,0.1813471502590673,0.0051546391752577,0.0
10279,AMA,11259,DAL,1262,1246,164,13,3,0.131621187800963,0.0103011093502377,0.002377179080824
10279,AMA,11292,DEN,755,735,240,13,7,0.3265306122448979,0.0172185430463576,0.0092715231788079
10279,AMA,11298,DFW,2424,2347,434,68,9,0.1849169152109075,0.028052805280528,0.0037128712871287
10279,AMA,12191,HOU,17,16,6,0,1,0.375,0.0,0.0588235294117647
10279,AMA,12266,IAH,211,209,52,2,0,0.2488038277511961,0.0094786729857819,0.0
10279,AMA,12889,LAS,364,361,69,3,0,0.1911357340720221,0.0082417582417582,0.0
10299,ANC,10165,ADK,105,97,9,8,0,0.0927835051546391,0.0761904761904762,0.0
10299,ANC,10170,ADQ,864,827,122,34,3,0.1475211608222491,0.0393518518518518,0.0034722222222222
10299,ANC,10245,AKN,166,165,36,1,0,0.2181818181818181,0.0060240963855421,0.0
10299,ANC,10397,ATL,133,132,74,1,0,0.5606060606060606,0.0075187969924812,0.0
10299,ANC,10551,BET,723,698,124,23,2,0.1776504297994269,0.0318118948824343,0.0027662517289073
10299,ANC,10754,BRW,359,347,96,11,1,0.276657060518732,0.0306406685236768,0.0027855153203342
10299,ANC,10926,CDV,361,357,62,0,4,0.1736694677871148,0.0,0.0110803324099723
10299,ANC,11292,DEN,612,609,71,3,0,0.1165845648604269,0.0049019607843137,0.0
10299,ANC,11298,DFW,382,376,119,1,5,0.3164893617021276,0.0026178010471204,0.013089005235602
10299,ANC,11336,DLG,114,113,17,1,0,0.1504424778761062,0.0087719298245614,0.0
10299,ANC,11433,DTW,121,121,25,0,0,0.2066115702479339,0.0,0.0
10299,ANC,11618,EWR,103,100,23,3,0,0.23,0.029126213592233,0.0
10299,ANC,11630,FAI,930,921,79,9,0,0.0857763300760043,0.0096774193548387,0.0
10299,ANC,12173,HNL,386,383,86,2,1,0.2245430809399478,0.005181347150259,0.0025906735751295
10299,ANC,12264,IAD,108,107,24,1,0,0.2242990654205607,0.0092592592592592,0.0
10299,ANC,12266,IAH,126,126,32,0,0,0.2539682539682539,0.0,0.0
10299,ANC,12478,JFK,69,68,20,1,0,0.2941176470588235,0.0144927536231884,0.0
10299,ANC,12523,JNU,1227,1216,148,3,8,0.1217105263157894,0.0024449877750611,0.0065199674001629
10299,ANC,12758,KOA,96,94,18,2,0,0.1914893617021276,0.0208333333333333,0.0
10299,ANC,12889,LAS,122,121,18,1,0,0.1487603305785124,0.0081967213114754,0.0
10299,ANC,12892,LAX,349,349,54,0,0,0.154727793696275,0.0,0.0
10299,ANC,13487,MSP,734,730,115,2,2,0.1575342465753424,0.0027247956403269,0.0027247956403269
10299,ANC,13830,OGG,59,57,13,1,1,0.2280701754385964,0.0169491525423728,0.0169491525423728
10299,ANC,13873,OME,357,348,87,9,0,0.25,0.0252100840336134,0.0
10299,ANC,13930,ORD,787,778,151,7,2,0.1940874035989717,0.0088945362134688,0.0025412960609911
10299,ANC,13970,OTZ,363,347,33,13,3,0.0951008645533141,0.0358126721763085,0.0082644628099173
10299,ANC,14057,PDX,884,882,88,2,0,0.0997732426303854,0.002262443438914,0.0
10299,ANC,14107,PHX,363,361,35,0,2,0.0969529085872576,0.0,0.0055096418732782
10299,ANC,14679,SAN,17,17,5,0,0,0.2941176470588235,0.0,0.0
10299,ANC,14709,SCC,537,531,72,4,2,0.135593220338983,0.0074487895716946,0.0037243947858473
10299,ANC,14747,SEA,6877,6806,1078,67,4,0.1583896561857184,0.0097426203286316,0.0005816489748436
10299,ANC,14771,SFO,286,285,47,0,1,0.1649122807017544,0.0,0.0034965034965034
10299,ANC,14869,SLC,130,130,41,0,0,0.3153846153846154,0.0,0.0
10299,ANC,14893,SMF,10,10,5,0,0,0.5,0.0,0.0
10333,APN,11433,DTW,628,602,85,26,0,0.1411960132890365,0.0414012738853503,0.0
10372,ASE,10397,ATL,451,426,154,21,4,0.3615023474178404,0.0465631929046563,0.0088691796008869
10372,ASE,10423,AUS,167,143,70,23,1,0.4895104895104895,0.1377245508982036,0.0059880239520958
10372,ASE,11057,CLT,6,5,4,1,0,0.8,0.1666666666666666,0.0
10372,ASE,11292,DEN,2741,2611,791,128,2,0.3029490616621983,0.0466982852973367,0.0007296607077708
10372,ASE,11298,DFW,1178,1081,404,88,9,0.3737280296022202,0.0747028862478777,0.0076400679117147
10372,ASE,12266,IAH,547,507,203,36,4,0.4003944773175542,0.0658135283363802,0.0073126142595978
10372,ASE,12892,LAX,1138,1075,330,60,3,0.3069767441860465,0.0527240773286467,0.0026362038664323
10372,ASE,13930,ORD,958,897,368,49,12,0.4102564102564102,0.0511482254697286,0.0125260960334029
10372,ASE,14107,PHX,110,99,43,11,0,0.4343434343434343,0.1,0.0
10372,ASE,14771,SFO,389,363,109,26,0,0.3002754820936639,0.0668380462724935,0.0
10397,ATL,10140,ABQ,996,981,176,10,5,0.1794087665647298,0.0100401606425702,0.0050200803212851
10397,ATL,10146,ABY,890,870,209,19,1,0.2402298850574712,0.0213483146067415,0.0011235955056179
10397,ATL,10185,AEX,18,18,4,0,0,0.2222222222222222,0.0,0.0
10397,ATL,10208,AGS,910,895,203,15,0,0.2268156424581005,0.0164835164835164,0.0
10397,ATL,10257,ALB,1047,1029,286,13,5,0.2779397473275024,0.0124164278892072,0.0047755491881566
10397,ATL,10299,ANC,133,131,48,1,1,0.366412213740458,0.0075187969924812,0.0075187969924812
10397,ATL,10372,ASE,452,408,116,4,40,0.284313725490196,0.0088495575221238,0.0884955752212389
10397,ATL,10408,ATW,371,363,104,7,1,0.2865013774104683,0.0188679245283018,0.0026954177897574
10397,ATL,10423,AUS,4519,4460,1125,51,8,0.2522421524663677,0.0112856826731577,0.0017703031644169
10397,ATL,10431,AVL,1877,1851,348,20,6,0.1880064829821718,0.0106553010122535,0.003196590303676
10397,ATL,10529,BDL,2300,2269,544,25,6,0.2397531952401939,0.0108695652173913,0.0026086956521739
10397,ATL,10581,BGR,29,27,2,2,0,0.074074074074074,0.0689655172413793,0.0
10397,ATL,10599,BHM,3079,3027,557,45,7,0.18401057152296,0.0146151347840207,0.0022734654108476
10397,ATL,10685,BMI,143,142,39,0,1,0.2746478873239437,0.0,0.0069930069930069
10397,ATL,10693,BNA,4096,4040,820,44,12,0.2029702970297029,0.0107421875,0.0029296875
10397,ATL,10713,BOI,513,505,106,6,2,0.2099009900990099,0.0116959064327485,0.0038986354775828
10397,ATL,10721,BOS,4994,4927,1286,62,5,0.2610107570529734,0.0124148978774529,0.00100120144173
