city_a,city_b,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
"Los Angeles, CA","Tucson, AZ",5297,5268,840,27,2,0.15945330296127563,0.005097224844251463,0.00037757221068529355
"El Paso, TX","Phoenix, AZ",5271,5222,934,42,7,0.17885867483722712,0.00796812749003984,0.0013280212483399733
"San Jose, CA","Santa Ana, CA",5270,5204,669,58,8,0.12855495772482706,0.011005692599620493,0.0015180265654648956
"New Orleans, LA","New York, NY",5260,5104,1329,135,21,0.260384012539185,0.025665399239543727,0.0039923954372623575
"Los Angeles, CA","Reno, NV",5257,5198,660,49,10,0.12697191227395152,0.009320905459387484,0.0019022256039566293
"Dallas, TX","Orlando, FL",5250,5161,1346,68,21,0.26080217012206935,0.012952380952380953,0.004
"Charleston, SC","Washington, DC",5234,4977,1213,243,14,0.24372111713883865,0.04642720672525793,0.0026748184944593045
"Ontario, CA","Seattle, WA",5230,5150,883,66,14,0.17145631067961165,0.012619502868068833,0.0026768642447418736
"Charlotte, NC","Richmond, VA",5222,5138,1091,79,5,0.21233943168548072,0.015128303332056683,0.0009574875526618154
"Charlotte, NC","Savannah, GA",5219,5089,1025,124,6,0.2014148162703871,0.02375934086989845,0.0011496455259628281
"Denver, CO","Miami, FL",5206,5154,1295,22,30,0.2512611563833915,0.0042258932001536685,0.005762581636573185
"Philadelphia, PA","Tampa, FL",5191,5110,1390,70,11,0.2720156555772994,0.013484877672895397,0.002119052205740705
"Cleveland, OH","Washington, DC",5190,4919,1260,265,6,0.25614962390729823,0.051059730250481696,0.0011560693641618498
"Dallas/Fort Worth, TX","Kansas City, MO",5189,4981,1607,197,11,0.3226259787191327,0.03796492580458662,0.002119868953555598
"Charlotte, NC","Norfolk, VA",5186,5092,1104,89,5,0.21681068342498036,0.01716158889317393,0.0009641342074816814
"Miami, FL","San Juan, PR",5186,5152,1194,28,6,0.23175465838509315,0.005399151561897416,0.0011569610489780178
"New York, NY","St. Louis, MO",5184,5012,1180,152,20,0.23543495610534718,0.029320987654320986,0.0038580246913580245
"New Orleans, LA","Washington, DC",5168,4989,1224,154,25,0.24533974744437764,0.02979876160990712,0.004837461300309598
"Phoenix, AZ","San Antonio, TX",5153,5118,971,28,7,0.18972254787026183,0.005433727925480303,0.0013584319813700757
"Austin, TX","Orlando, FL",5128,5082,1214,31,15,0.2388823297914207,0.006045241809672387,0.0029251170046801873
"Oakland, CA","Santa Ana, CA",5121,5071,687,44,6,0.13547623742851508,0.008592071860964655,0.0011716461628588166
"Chicago, IL","San Antonio, TX",5117,5035,1073,63,19,0.2131082423038729,0.012311901504787962,0.0037131131522376393
"Las Vegas, NV","Ontario, CA",5117,5065,1101,50,2,0.2173741362290227,0.009771350400625366,0.00039085401602501464
"Houston, TX","San Diego, CA",5115,5054,1021,48,13,0.20201820340324494,0.0093841642228739,0.002541544477028348
"Denver, CO","Indianapolis, IN",5105,5063,1271,30,12,0.2510369346237409,0.005876591576885406,0.0023506366307541626
"Miami, FL","Raleigh/Durham, NC",5090,5030,1173,51,9,0.23320079522862824,0.010019646365422397,0.001768172888015717
"Charlotte, NC","Minneapolis, MN",5070,5017,989,44,9,0.19712975882001196,0.008678500986193294,0.0017751479289940828
"Dallas/Fort Worth, TX","Mission/McAllen/Edinburg, TX",5059,4890,1289,157,12,0.26359918200409,0.031033801146471633,0.0023720102787112077
"Los Angeles, CA","Philadelphia, PA",5045,4975,1102,55,15,0.22150753768844222,0.010901883052527254,0.002973240832507433
"Palm Springs, CA","San Francisco, CA",5041,5001,1204,30,10,0.24075184963007398,0.005951200158698671,0.0019837333862328904
"Atlanta, GA","San Diego, CA",5022,4952,1068,34,36,0.21567043618739903,0.0067702110712863405,0.007168458781362007
"Charlotte, NC","Los Angeles, CA",5017,4989,970,24,4,0.19442774103026658,0.004783735299980068,0.0007972892166633447
"Newark, NJ","Phoenix, AZ",5015,4927,1176,63,25,0.23868479805155268,0.012562313060817547,0.004985044865403789
"Boston, MA","Seattle, WA",4982,4919,1268,43,20,0.25777597072575725,0.008631071858691289,0.004014452027298274
"Detroit, MI","Nashville, TN",4969,4919,902,39,11,0.18337060378125636,0.007848661702555847,0.0022137250955926746
"Albany, NY","Chicago, IL",4938,4859,1139,69,10,0.2344103725046306,0.013973268529769137,0.002025111381125962
"Portland, OR","Salt Lake City, UT",4930,4905,617,23,2,0.1257900101936799,0.004665314401622718,0.00040567951318458417
